ID	Cote	Date_categorie	Datation	Contenu	Lien à la page	Ecriture	Formalité	Nombre de lignes par page complète	Nombre de colonnes	Gallica
928	CHERBOURG, Bibliothèque municipale, 0008	17	17e s.	Heures normand, cryptographique (fragment)						
1270	CHALONS-EN-CHAMPAGNE, Musée des Beaux-Arts, inv. 0861.1.172	16 (1/3)	1501-1515	Heures ? (fragment)						
1721	Paris, Bibl. Nat. Nouv. Acq. Fr. 1825	0		Heures à l'usage de Châlons						
1206	LILLE, Musée des Beaux-Arts, A 202	15	1401-1500?	Heures						
1365	NANTERRE, Archives départementales des Hauts-de-Seine, Desguine, ms. 069	15	1401-1500	Heures						
1666	PARIS, Bibliothèque nationale de France, Manuscrits, lat. 18022	16 (1/3)	1500?-1525?			Hybrida	Libraria		1	oo
18	TOURS, Bibliothèque municipale, 2042	15	1401-1500	Horae secundum usum Turonensem	http://bvmm.irht.cnrs.fr/consult/consult.php?mode=ecran&reproductionId=8544&VUE_ID=1268802	Cursiva	Formata	22	1	
1429	PARIS, Bibliothèque nationale de France, Manuscrits, lat. 1160	15 (3/3)	1480?			Cursiva	Formata		1	oo
1366	NANTERRE, Archives départementales des Hauts-de-Seine, Desguine, ms. 070	15-16	1490-1510)	Heures						
200	MANS (LE), Bibliothèque municipale, 0127	15	1401-1500	Heures	http://bvmm.irht.cnrs.fr/consult/consult.php?mode=ecran&reproductionId=2937&VUE_ID=737681	Cursiva	Formata	20	1	
711	SELESTAT, Bibliothèque municipale, 126	15 (3/3)	1480-1500	Heures de la Vierge Marie et Euchologe						
1744	Paris, Bibl. Nat. Smith-Lesouëf 39	16 (1/2)	1501-1550			Cursiva	Libraria		1	oo
1279	PARIS, Bibliothèque de l'Ecole des Beaux-Arts, Ms.Mas 0137	15-16	1475-1515	Heures à l'usage de Rome	http://bvmm.irht.cnrs.fr/consult/consult.php?mode=ecran&reproductionId=3257&VUE_ID=788036	Hybrida	Formata	26	1	
1706	PARIS, Bibliothèque nationale de France, Manuscrits, nouv. acq. lat. 962	14	1301-1400						1	oo
1562	PARIS, Bibliothèque nationale de France, Manuscrits, lat. 10532	16 (1/3)	1501-1504 [CMD 1496-1501]			Humanistique	Formata		1	http://gallica.bnf.fr/ark:/12148/btv1b8427228j.r=.langFR
757	LILLE, Bibliothèque universitaire de Lille 3, 213 (0658)	15	1401-1500	Heures						
401	LYON, Bibliothèque municipale, 6000	15 (3/3)	1480-1500	Heures	http://bvmm.irht.cnrs.fr/consult/consult.php?mode=ecran&reproductionId=12535&VUE_ID=1336655	Cursiva	Formata	17	1	
1360	NANTERRE, Archives départementales des Hauts-de-Seine, Desguine, ms. 062	15	1401-1500	Heures						
1128	FECAMP, Musée de la Bénédictine, A.10.002	15	1401-1500	Heures à l'usage de Saint-Quentin						
1716	Paris, Bibl. Nat. Fr. 5661	15 (3/3)	1493			Cursiva	Formata	22	1	http://gallica.bnf.fr/ark:/12148/btv1b9059265h.r=.langFR
163	BESANCON, Bibliothèque municipale, 0150	15 (3/3)	1470-1480 circa	Heures à l'usage de Saintes	http://bvmm.irht.cnrs.fr/consult/consult.php?mode=ecran&reproductionId=7726&VUE_ID=1254967	Cursiva	Formata	17	1	
702	AMIENS, Bibliothèque municipale, 2540	16 (1/3)	16e s. (premier quart)	Heures à l'usage d'Amiens	http://bvmm.irht.cnrs.fr/consult/consult.php?mode=ecran&reproductionId=15341&VUE_ID=1391448	Textualis	Formata	17	1	
536	NICE, Bibliothèque municipale, 006 (R. 28)	15	1401-1500	Heures en flamand	http://bvmm.irht.cnrs.fr/consult/consult.php?mode=ecran&reproductionId=6418&VUE_ID=1237600	Textualis	Libraria	19	1	
30	PARIS, Bibliothèque Sainte-Geneviève, 2704	15	1401-1500	Horae aeduense	http://bvmm.irht.cnrs.fr/consult/consult.php?mode=ecran&reproductionId=13478&VUE_ID=1361988	Cursiva	Formata	18	1	
1799	PARIS, Bibliothèque nationale de France, Manuscrits, nouv. acq. lat. 104	16 (2/3)	1555			Humanistique	Formata			oo
665	AUTUN, Musée Rolin, inv. SE 207	15 (3/3)	1480-1500	Heures (fragment)						
852	CAEN, Musée des Beaux-Arts, Coll. Mancel ms. 0238	16 (1/3)	16e s. (premier tiers)	Heures	http://bvmm.irht.cnrs.fr/consult/consult.php?mode=ecran&reproductionId=4236&VUE_ID=934638	Textualis	Libraria	26	1	
872	CHANTILLY, Bibliothèque du château, 0007 (1345)	12	1175-1200	Psautier-heures à l'usage de Brême	http://bvmm.irht.cnrs.fr/consult/consult.php?mode=ecran&reproductionId=180&VUE_ID=118675	Praegothica	Formata	20	1	
